Category,Restaurant Name,Price_Range_Int,google_place_id,google_formatted_address,google_lat,google_lng,google_types
Asian Fusion,Spring Rolls,2,ChIJA7n4kcM1K4gRtTRzp84YMHs,"Atrium on Bay, 40 Dundas St W, Toronto, ON M5G 2C2",43.6561902,-79.3824014,"chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,To-ne Sushi,2,ChIJacTThdw0K4gRcHcUVSQvdHc,"414 Queen St W, Toronto, ON M5V 2A7",43.6486368,-79.3977856,"sushi_restaurant,asian_restaurant,meal_delivery,meal_takeaway,food_delivery,japanese_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Big Tuna Poké Bar,2,ChIJs16Fw6E1K4gRapEhLBb0c4U,"599 Bloor St W Main Floor, Toronto, ON M6G 1K5",43.6646033,-79.4129392,"korean_restaurant,bar_and_grill,meal_takeaway,japanese_restaurant,bar,restaurant,point_of_interest,food,establishment"
Asian Fusion,Double Tree Restaurant & Bar,2,ChIJAzMfI8I1K4gR_LbeT8kDlKU,"43 Baldwin St Ground Floor, Toronto, ON M5T 1L1",43.6557848,-79.3937013,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Shosei,,ChIJ7Y6xG_00K4gRLk29oBNr7cc,"930 Queen St W, Toronto, ON M6J 1G6",43.6447793,-79.416005,"point_of_interest,establishment"
Asian Fusion,Mr Thai,2,ChIJ27uwtzwzK4gRXvCNCq8iWzk,"1521 Yonge St #6, Toronto, ON M4T 1Z2",43.6896777,-79.3945477,"thai_restaurant,asian_restaurant,meal_delivery,meal_takeaway,food_delivery,restaurant,point_of_interest,food,establishment"
Asian Fusion,New Treasure,1,ChIJEeixwss0K4gR6SkrsSSxCYQ,"150 Dundas St W, Toronto, ON M5G 1C6",43.6555266,-79.3854848,"chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Via Kitchenette,,ChIJxc-WPmnN1IkRDBEEBNddOSY,"791 Broadview Ave, Toronto, ON M4K 2P8",43.677621,-79.3584621,"catering_service,cafe,food_delivery,market,point_of_interest,food,establishment"
Asian Fusion,Mosaic Asian Kitchen & Wine Bar,,ChIJqwMgnDA2K4gRCf8q6rCnZ4I,"769 The Queensway, Etobicoke, ON M8Z 0E2",43.625801,-79.5043334,"japanese_restaurant,sushi_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,The Captain’s Boil,2,ChIJ2fIBfpzS1IkRbOOVTYbuiPo,"865 York Mills Rd #10A, North York, ON M3B 1Y6",43.7548094,-79.3492935,"seafood_restaurant,asian_restaurant,american_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Chako,2,ChIJHRoMY_zT1IkRgZ_42J5OKRo,"Ontario, Toronto, McNicoll Ave, CA Ontario邮政编码: M1V 0B3",43.8142832,-79.2947133,"barbecue_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Oriental Taste Restaurant,2,ChIJQfVrvsM0K4gRa3QsUxItpj0,"338 Spadina Ave., Toronto, ON M5T 2G2",43.6540411,-79.3987676,"chinese_restaurant,seafood_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Tasty Delight Fusion Cuisine,1,ChIJNew6lyfT1IkRhDYSWPLX5os,"149 Ravel Rd, North York, ON M2H 1T1",43.7910724,-79.3671609,"chinese_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Asian Monsoon,2,ChIJgTMjWOE0K4gRjxgMysLSQCE,"785 Queen St W, Toronto, ON M6J 1G1",43.6461725,-79.4082784,"thai_restaurant,bar,restaurant,food,point_of_interest,establishment"
Asian Fusion,WE Kitchen,2,ChIJQx9hxiU4K4gRXtKt2qsEszA,"405 The West Mall, Etobicoke, ON M9C 5J5",43.6456693,-79.5670658,"restaurant,food,point_of_interest,establishment"
Asian Fusion,The Captain’s Boil,3,ChIJgXNoXyAzK4gRJNPWL1TX0nY,"2655 Yonge St, Toronto, ON M4P 2J6",43.7158333,-79.4,"seafood_restaurant,restaurant,food,point_of_interest,establishment"
